data_name,lambda_fuse,lambda_fuse_effective,n_samples,n_features,objective_last,neg_loglik_last,primal_residual_last,dual_residual_last,c_td,n_params,result_path,bic,rho,max_admm_iter,clip_eta
extended_aft_step_seed_131,0.0,0.0,1000,3,1117.4892684573172,1117.4892684573172,0.0,0.0,0.8205415977927826,15,outputs/lambda_experiments/extended_aft_step_seed_131/lambda_0.0/result.json,2338.5948660993663,1.0,1000,20
extended_aft_step_seed_90,0.0,0.0,1000,3,1117.689091493916,1117.689091493916,0.0,0.0,0.8229539896490928,15,outputs/lambda_experiments/extended_aft_step_seed_90/lambda_0.0/result.json,2338.994512172564,1.0,1000,20
extended_aft_step_seed_43,0.0,0.0,1000,3,1118.6656119272498,1118.6656119272498,0.0,0.0,0.8230425119671757,15,outputs/lambda_experiments/extended_aft_step_seed_43/lambda_0.0/result.json,2340.9475530392315,1.0,1000,20
extended_aft_step_seed_104,0.0,0.0,1000,3,1124.5130968884123,1124.5130968884123,0.0,0.0,0.8196688621791937,15,outputs/lambda_experiments/extended_aft_step_seed_104/lambda_0.0/result.json,2352.6425229615566,1.0,1000,20
extended_aft_step_seed_115,0.0,0.0,1000,3,1125.9715487161345,1125.9715487161345,0.0,0.0,0.8248605379989465,15,outputs/lambda_experiments/extended_aft_step_seed_115/lambda_0.0/result.json,2355.559426617001,1.0,1000,20
extended_aft_step_seed_100,0.0,0.0,1000,3,1128.7162074409207,1128.7162074409207,0.0,0.0,0.8179289045093161,15,outputs/lambda_experiments/extended_aft_step_seed_100/lambda_0.0/result.json,2361.0487440665734,1.0,1000,20
extended_aft_step_seed_87,0.0,0.0,1000,3,1130.134883898377,1130.134883898377,0.0,0.0,0.8217880499132856,15,outputs/lambda_experiments/extended_aft_step_seed_87/lambda_0.0/result.json,2363.886096981486,1.0,1000,20
extended_aft_step_seed_96,0.0,0.0,1000,3,1138.534010512383,1138.534010512383,0.0,0.00015506913135124854,0.8143885478074061,15,outputs/lambda_experiments/extended_aft_step_seed_96/lambda_0.0/result.json,2380.684350209498,1.0,1000,20
extended_aft_step_seed_81,0.0,0.0,1000,3,1139.1427188933826,1139.1427188933826,0.0,0.0,0.8297713641727108,15,outputs/lambda_experiments/extended_aft_step_seed_81/lambda_0.0/result.json,2381.901766971497,1.0,1000,20
extended_aft_step_seed_59,0.0,0.0,1000,3,1139.729568860515,1139.729568860515,0.0,0.0,0.8183753312689478,15,outputs/lambda_experiments/extended_aft_step_seed_59/lambda_0.0/result.json,2383.075466905762,1.0,1000,20
extended_aft_step_seed_61,0.0,0.0,1000,3,1147.2772897944953,1147.2772897944953,0.0,0.0,0.8265445712601506,15,outputs/lambda_experiments/extended_aft_step_seed_61/lambda_0.0/result.json,2398.1709087737227,1.0,1000,20
extended_aft_step_seed_128,0.0,0.0,1000,3,1147.5668850756454,1147.5668850756454,0.0,0.0,0.8220910434826936,15,outputs/lambda_experiments/extended_aft_step_seed_128/lambda_0.0/result.json,2398.7500993360227,1.0,1000,20
