data_name,lambda_fuse,lambda_fuse_effective,n_samples,n_eval_samples,n_features,objective_last,neg_loglik_last,primal_residual_last,dual_residual_last,c_td,c_td_train,c_td_test,n_change_points,n_params,result_path,bic,rho,max_admm_iter,clip_eta
small_seed_51,2.0,2000.0,1000,1000,3,11806.971449302708,1631.588219685599,1.2959998979865426,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_51/lambda_2.0/result.json,3339.1617474400014,1.0,1000,20
oracle_seed_54,16.0,16000.0,1000,1000,3,11971.455687343687,1533.8687504349152,0.20519550665750488,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_54/lambda_16.0/result.json,3143.722808938634,1.0,1000,20
off_grid_seed_61,4.0,4000.0,1000,1000,3,12042.388395925354,1520.5950293906567,0.6604943203667575,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_61/lambda_4.0/result.json,3117.175366850117,1.0,1000,20
no_change_seed_45,8.0,8000.0,1000,1000,3,12131.36972660818,1662.7947657639997,0.32566418754268756,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_45/lambda_8.0/result.json,3401.574839596803,1.0,1000,20
off_grid_seed_42,4.0,4000.0,1000,1000,3,12344.247642496879,1543.3481337033663,0.6655252268681751,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_42/lambda_4.0/result.json,3162.681575475536,1.0,1000,20
fine_grid_seed_47,8.0,8000.0,1000,1000,3,12478.661754807114,1574.8011461677731,0.30683505693351193,0.0,0.5,0.5,0.5,0,11,outputs/pilot/fine_grid_seed_47/lambda_8.0/result.json,3225.58760040435,1.0,1000,20
small_seed_61,2.0,2000.0,1000,1000,3,12615.13083227588,1618.2070189290723,1.3283195023693892,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_61/lambda_2.0/result.json,3312.399345926948,1.0,1000,20
fine_grid_seed_50,8.0,8000.0,1000,1000,3,12628.198251347221,1576.9344057413018,0.39723271983010083,0.0,0.5,0.5,0.5,0,11,outputs/pilot/fine_grid_seed_50/lambda_8.0/result.json,3229.854119551407,1.0,1000,20
no_change_seed_54,4.0,4000.0,1000,1000,3,12696.435665756273,1636.8714060158566,0.7504909220872956,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_54/lambda_4.0/result.json,3349.7281201005167,1.0,1000,20
small_seed_46,4.0,4000.0,1000,1000,3,12784.097955374691,1636.1401793018197,0.6514863484331849,0.0,0.5,0.5,0.5,0,11,outputs/pilot/small_seed_46/lambda_4.0/result.json,3348.265666672443,1.0,1000,20
fine_grid_seed_51,2.0,2000.0,1000,1000,3,12802.942698206327,1598.5015133598129,1.4745052965601213,0.0,0.5,0.5,0.5,0,11,outputs/pilot/fine_grid_seed_51/lambda_2.0/result.json,3272.9883347884293,1.0,1000,20
off_grid_seed_52,8.0,8000.0,1000,1000,3,13249.836511220728,1539.8960865594474,0.36793093504459395,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_52/lambda_8.0/result.json,3155.7774811876984,1.0,1000,20
no_change_seed_42,2.0,2000.0,1000,1000,3,13417.940086449582,1671.1140986482317,1.6131106768730823,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_42/lambda_2.0/result.json,3418.213505365267,1.0,1000,20
fine_grid_seed_48,8.0,8000.0,1000,1000,3,13419.996714314653,1567.2275391793678,0.3423240214855209,0.0,0.5,0.5,0.5,0,11,outputs/pilot/fine_grid_seed_48/lambda_8.0/result.json,3210.440386427539,1.0,1000,20
fine_grid_seed_59,4.0,4000.0,1000,1000,3,13505.437337803982,1558.9013857277687,0.7428556991474299,0.0,0.5,0.5,0.5,0,11,outputs/pilot/fine_grid_seed_59/lambda_4.0/result.json,3193.788079524341,1.0,1000,20
oracle_seed_47,16.0,16000.0,1000,1000,3,13547.174977512228,1579.299237203463,0.22957379498043856,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_47/lambda_16.0/result.json,3234.5837824757295,1.0,1000,20
off_grid_seed_56,4.0,4000.0,1000,1000,3,13561.314034668192,1541.3226091013826,0.7523485118149639,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_56/lambda_4.0/result.json,3158.6305262715687,1.0,1000,20
oracle_seed_45,16.0,16000.0,1000,1000,3,13637.173397399732,1555.6889188510477,0.2392759262385539,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_45/lambda_16.0/result.json,3187.363145770899,1.0,1000,20
off_grid_seed_54,8.0,8000.0,1000,1000,3,13715.089138673944,1549.5428982106982,0.34631515072192526,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_54/lambda_8.0/result.json,3175.0711044902,1.0,1000,20
off_grid_seed_60,4.0,4000.0,1000,1000,3,13768.694952549324,1568.369435343275,0.697367469005002,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_60/lambda_4.0/result.json,3212.7241787553535,1.0,1000,20
no_change_seed_49,1.0,1000.0,1000,1000,3,13818.300778916433,1790.8220016312398,3.09613729220767,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_49/lambda_1.0/result.json,3657.629311331283,1.0,1000,20
off_grid_seed_45,8.0,8000.0,1000,1000,3,13842.504718748161,1549.3710451340842,0.37514684935036646,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_45/lambda_8.0/result.json,3174.727398336972,1.0,1000,20
fine_grid_seed_53,8.0,8000.0,1000,1000,3,13849.81201406704,1548.1528800731144,0.3863562819497121,0.0,0.5,0.5,0.5,0,11,outputs/pilot/fine_grid_seed_53/lambda_8.0/result.json,3172.2910682150323,1.0,1000,20
no_change_seed_55,4.0,4000.0,1000,1000,3,13914.138013509319,1658.9797989662327,0.8296053972874302,0.0,0.5,0.5,0.5,0,11,outputs/pilot/no_change_seed_55/lambda_4.0/result.json,3393.944906001269,1.0,1000,20
off_grid_seed_46,4.0,4000.0,1000,1000,3,13939.31385072474,1568.908626189647,0.7063952407815891,0.0,0.5,0.5,0.5,0,11,outputs/pilot/off_grid_seed_46/lambda_4.0/result.json,3213.8025604480977,1.0,1000,20
oracle_seed_49,8.0,8000.0,1000,1000,3,13989.200734242108,1572.5954914949832,0.5912705972662202,0.0,0.5,0.5,0.5,0,11,outputs/pilot/oracle_seed_49/lambda_8.0/result.json,3221.17629105877,1.0,1000,20
